month,n_edits_million,n_users,bing_n_edits_million,bing_n_users,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
2020-01-01 00:00:00+00,19.396757,44318,3.563353,3780,2.517138,1955,0.491004,679,0.631846,785,0.553318,1089
2020-02-01 00:00:00+00,18.917197,42152,3.535274,3723,2.518572,1888,0.942462,1257,0.461595,781,0.581861,1068
2020-03-01 00:00:00+00,20.981995,40604,3.139345,3565,1.770444,1701,2.952164,1925,0.593225,704,0.548559,1089
2020-04-01 00:00:00+00,24.112515,46346,3.097799,3619,1.636675,1668,4.694631,2067,0.587076,704,0.573197,1094
2020-05-01 00:00:00+00,24.308527,50730,2.981348,3783,1.834697,1595,4.701803,2219,0.684481,664,0.512836,1193
2020-06-01 00:00:00+00,23.606114,47594,2.756921,3600,1.834094,1532,4.940529,2186,0.336311,580,0.509202,1128
2020-07-01 00:00:00+00,23.798281,51318,3.095754,3676,2.090249,1632,5.153843,2175,0.480849,585,0.599315,1099
2020-08-01 00:00:00+00,22.421386,51190,2.950499,3851,1.309612,1666,4.850194,2318,0.405757,481,0.362496,1219
2020-09-01 00:00:00+00,23.252599,50670,2.662406,3503,1.138042,1473,4.775364,2404,0.301751,438,0.298113,1238
2020-10-01 00:00:00+00,24.197186,51206,2.932414,3542,1.150798,1478,5.377644,2471,0.319988,475,0.285988,1284
2020-11-01 00:00:00+00,25.591612,50577,3.007861,3586,1.160685,1540,4.561169,2500,0.363047,441,0.328992,1226
2020-12-01 00:00:00+00,24.937469,45197,2.810949,3516,1.475849,1576,4.198567,2358,0.420723,454,0.370035,1193
2021-01-01 00:00:00+00,25.835896,50241,3.220926,3851,1.48203,1808,4.809342,2438,0.47006,544,0.38671,1239
2021-02-01 00:00:00+00,24.798971,47449,2.857953,3700,1.629959,1775,4.630422,2418,0.506429,519,0.327096,1222
2021-03-01 00:00:00+00,29.108132,54166,3.06403,3820,1.770021,1730,5.149103,2537,0.573858,576,0.299482,1320
2021-04-01 00:00:00+00,28.141101,57738,3.202724,3972,1.788426,1765,5.268608,2593,0.489108,572,0.368886,1270
2021-05-01 00:00:00+00,26.695398,51539,3.314018,3926,1.785125,1774,5.340394,2662,0.4561,595,0.473497,1179
2021-06-01 00:00:00+00,24.650553,51062,2.536554,3735,1.477322,1615,4.434699,2440,0.286886,567,0.42569,1099
2022-04-01 00:00:00+00,22.327277,44269,3.081925,3537,1.125394,1227,3.381501,2070,0.289582,508,0.349862,915
2022-05-01 00:00:00+00,24.958754,48110,3.63847,3698,0.976319,1298,3.613763,2055,0.300368,539,0.366461,977
2022-06-01 00:00:00+00,20.491098,46330,3.519532,3619,1.117909,1293,3.644879,1984,0.2747,518,0.401485,952
2022-07-01 00:00:00+00,20.147773,46341,3.226717,3539,1.13326,1238,2.882028,1973,0.238524,480,0.475942,957
2022-08-01 00:00:00+00,20.316881,47589,2.802541,3786,1.192212,1325,3.239408,1964,0.24076,498,0.430033,1024
2022-09-01 00:00:00+00,20.328332,45349,2.852826,3579,1.239123,1282,2.833841,1940,0.282742,439,0.410575,937
2022-10-01 00:00:00+00,23.011488,48717,2.740816,3716,1.172216,1296,4.069811,1952,0.312961,493,0.34626,868
2022-11-01 00:00:00+00,22.425662,47883,2.866989,3582,0.984416,1243,3.012658,2079,0.296412,457,0.320681,884
2022-12-01 00:00:00+00,19.719762,41364,3.090039,3288,1.235427,1164,2.424628,1771,0.250008,427,0.320351,818
2021-07-01 00:00:00+00,21.961962,50842,2.545487,3786,1.491316,1640,4.341785,2424,0.351794,622,0.341639,1163
2021-08-01 00:00:00+00,22.484184,48218,2.862041,3850,1.230492,1533,3.873075,2318,0.359656,672,0.350107,1176
2021-09-01 00:00:00+00,21.551489,49803,2.781444,3526,0.925084,1344,4.233645,2072,0.288562,476,0.340143,1071
2021-10-01 00:00:00+00,21.949026,48173,3.332833,3416,0.991091,1252,3.783333,1960,0.299129,475,0.368248,857
2021-11-01 00:00:00+00,23.995916,44721,4.015851,3364,1.100953,1201,5.15234,2108,0.383146,421,0.297712,827
2021-12-01 00:00:00+00,22.828598,39862,2.670674,3325,1.341829,1336,4.020443,2205,0.398242,533,0.324855,821
2022-01-01 00:00:00+00,23.322705,41776,2.863304,3572,1.03106,1306,3.587214,2073,0.33932,519,0.423933,875
2022-02-01 00:00:00+00,21.003741,40031,3.164678,3295,1.1151,1170,3.625382,2034,0.259808,482,0.345718,739
2022-03-01 00:00:00+00,22.955057,43751,3.276383,3500,1.241775,1232,4.024755,2049,0.377312,491,0.404071,834
2023-10-01 00:00:00+00,27.113368,48381,3.898039,4330,1.911389,1780,0.356003,295,0.204995,477,0.360669,847
2023-11-01 00:00:00+00,20.336277,45687,4.16113,4974,2.076588,1703,0.204022,291,0.24244,466,0.276313,918
2023-12-01 00:00:00+00,20.08759,40932,4.165928,5136,2.025232,1584,0.523469,264,0.19462,450,0.311671,774
2024-01-01 00:00:00+00,21.995509,42936,5.387734,5814,2.178126,1635,0.484934,366,0.225932,485,0.389089,900
2024-02-01 00:00:00+00,24.014872,43735,6.548099,6314,2.573659,1665,1.738633,371,0.195616,466,0.340979,948
2024-03-01 00:00:00+00,22.511705,47954,7.131361,6405,2.480757,1633,0.237711,320,0.199466,433,0.290656,908
2024-04-01 00:00:00+00,21.772117,52301,6.29535,7002,2.229347,1732,0.181798,257,0.223341,438,0.310815,887
2024-05-01 00:00:00+00,22.157282,53277,7.052805,7025,2.355759,1713,0.228361,296,0.201286,464,0.294194,932
2024-06-01 00:00:00+00,20.847993,48489,6.319933,6573,2.609608,1750,0.170781,273,0.163472,395,0.286738,876
2023-01-01 00:00:00+00,20.822465,44167,2.949331,3425,1.135652,1213,2.47526,1772,0.22096,422,0.36907,862
2023-02-01 00:00:00+00,22.36782,48756,2.785768,3611,1.150721,1237,3.174656,2087,0.229849,440,0.39955,906
2023-03-01 00:00:00+00,21.886925,48216,3.502431,3571,1.221681,1255,2.910194,1773,0.213266,416,0.357872,961
2023-04-01 00:00:00+00,20.920706,46639,3.373979,3574,1.041289,1149,3.090358,1743,0.353144,402,0.335576,867
2023-05-01 00:00:00+00,22.841456,48523,4.404293,3648,1.144738,1215,3.324995,1825,0.238672,394,0.375333,978
2023-07-01 00:00:00+00,24.018664,47836,4.036704,4093,2.122285,1709,1.146141,594,0.214518,551,0.396948,914
2023-08-01 00:00:00+00,31.78015,49031,5.221758,4388,2.419882,1823,1.51995,312,0.405413,629,0.365074,923
2023-09-01 00:00:00+00,23.17023,51030,4.761091,4256,2.208042,1977,1.382996,271,0.510309,542,0.326251,871
2023-06-01 00:00:00+00,18.753217,47535,3.189665,3861,1.158437,1453,2.1603,1681,0.206476,466,0.331549,911
2024-07-01 00:00:00+00,22.132326,46872,7.413825,6599,3.806522,1602,0.160775,254,0.16623,422,0.333519,958
2024-08-01 00:00:00+00,19.917995,47995,5.476589,6943,1.948058,1780,0.109577,262,0.205278,435,0.373472,934
2024-09-01 00:00:00+00,20.536623,47510,5.129126,6712,2.384584,1765,0.105166,275,0.153567,395,0.362065,925
2024-10-01 00:00:00+00,22.363479,47659,5.833259,6756,3.45778,1712,0.072041,245,0.189402,362,0.338554,930
2024-11-01 00:00:00+00,21.748789,46433,5.376423,6618,2.493649,1826,0.13014,221,0.230276,439,0.31511,864
2024-12-01 00:00:00+00,23.141742,39852,4.743201,6300,2.404789,1672,0.094431,242,0.179708,384,0.308259,827
2025-01-01 00:00:00+00,23.12704,43957,5.49604,7065,2.557524,1793,0.100454,270,0.235977,482,0.305019,931
2025-02-01 00:00:00+00,18.933254,43473,3.910056,6592,2.291861,1882,0.113395,264,0.336486,614,0.253106,922
2025-03-01 00:00:00+00,22.36355,49531,5.321579,6800,3.221763,2040,0.062365,254,0.395348,674,0.324704,974
2025-04-01 00:00:00+00,21.561513,50387,4.925513,6666,2.94102,2097,0.084149,268,0.410648,651,0.340961,1017
2025-05-01 00:00:00+00,22.192843,50855,4.723454,7444,3.336423,2035,0.119207,253,0.688256,639,0.370441,1008
2025-06-01 00:00:00+00,11.706656,32143,2.262617,4502,1.527082,1560,0.037685,215,0.704549,426,0.187335,690
